3,3,3,3.5,3.5,3.8,3.25,3,3.33,3,3
4,4,4,4,3.75,4,4,4,4,4,4
4,4,4,4,2.5,4,2.75,3.5,4,3,3
4,4,4,3.5,2.5,3.6,3.5,4,4,3,3
4,3,3.67,3,1,4,5,5,4.67,2.5,4
4,4.5,4.33,4,2.75,4.6,4,3.75,4.33,2,4
4,3.5,4.33,1.5,2,4.4,4.25,4,3.33,2.5,4
3.5,3.5,3.67,2,2.25,3.6,4.25,4.25,3,3.5,3.5
2.5,2,2.33,2,2.5,4.2,4.75,4.25,3.67,3,4
3.5,3.5,3.33,2.5,1.75,3.2,4.75,4.5,3.67,3.5,4
5,4.5,4.67,2.5,3,2.8,3.5,3.5,4.67,2.5,3.5
4.5,2.5,3,4,2.25,2.2,3.5,2.75,3.33,4,3
4,4,4,4,2.25,4.2,4.25,5,5,3.5,4
3.5,3,3.67,3.5,3,3,3.25,3.25,3.33,2,3.5
4,5,4,2,3,5,4.25,4.25,4.67,3,3.5
4,4,4,3.5,3,3.6,4,4.25,3,3.5,5
2.5,4,1.67,3,1.5,2.2,3,2.5,3.33,3.5,3.5
5,5,5,2,2.25,4,3.75,4,4,2,2
4,3.5,4,3.5,3,4,4.5,4.25,5,3,3.5
3,2.5,3.67,3,2.75,3.2,3,3.25,3.33,2,2
2.5,2.5,2.33,2,2.5,2.8,4,4,3.67,2,2.5
3.5,4,2.67,3,2.75,4,4.25,3.75,3.67,2,3
3.5,2.5,3.33,3,3.5,3,3.25,3,3.67,4,3.5
2,3.5,3.33,3.5,3,3.6,2.5,2.5,4,2.5,2
4,4,3.67,2,2.25,4.6,3.25,3.75,4.33,2,4
3.5,2,4.33,2,2.5,3,2.75,3.75,2.67,4,4
4.5,3.5,5,4.5,2.25,4.2,3.25,3.5,3.67,2,4
4,3,3.33,2.5,2.25,4,3.5,3,3.33,3,3.5
4,4,4.33,4.5,3,4.2,4.5,4.25,4.67,2.5,4
4.5,4,4,3.5,3.5,3.8,3.5,3.75,3.33,3,3.5
5,4,4.33,4,2.25,4.6,4.75,5,4.67,3,5
4,4.5,4,3.5,2.25,4.6,5,5,4.67,3,4
2.5,2.5,3,2.5,1.25,1.6,1.5,1.25,1.67,2,2.5
3.5,5,4.67,1.5,1.5,4.2,4,4,4,1,5
4,3.5,3.67,3,3.5,3.6,3.5,3.75,3.67,4,3
4.5,4.5,5,4.5,4.75,5,5,5,4.67,3.5,5
4.5,3.5,4.33,4,4,4.2,3.5,3.25,4.67,5,4.5
3.5,3.5,2.67,3.5,3.25,3,2.25,3,3,4,3.5
3,4.5,3,4,3,3,2.75,2.75,3.33,4.5,4
3.5,3.5,4,4.5,2.25,4,3.75,4.25,4.33,3.5,4
5,4.5,4.33,3.5,3.5,4.2,5,5,5,3,4
3,4,4,4,3.75,4,4,4,4,2,3
4,4.5,3.67,3.5,2.5,4.2,4.5,4.5,4.67,3,4.5
1,2.5,3.67,4,1.75,2,2.25,3.25,4,2,2
4.5,5,4.67,2.5,2,5,4.5,4,4.67,2,4.5
5,5,5,5,5,5,5,5,5,5,5
5,4.5,4,2.5,1.75,3,4,4.25,4.33,3.5,4
3.5,4,3.67,4,3.75,3.6,2.75,4,4,4,4
2,3,2,2,2.75,3.2,4,4,3.33,1.5,2
3.5,3.5,3.67,3.5,3.25,3.2,2.75,3.25,2.67,3.5,3.5
4.5,5,4.67,2,2,4.8,4,4,3.67,2,2
5,4,4.33,3,2,4,3.5,4,4,3,4
5,5,5,5,2,4.2,5,5,5,3,1
3.5,4,4,2.5,3.25,2.8,3.25,2.75,3.33,3,4
4,4,4,3,3,3.6,4.25,3.5,4,3.5,3.5
4.5,4,4.33,4.5,2.75,4,4.25,4.5,4.33,3.5,3.5
4.5,3,3.33,4,4,3.2,3.75,3.5,4.33,4,3.5
4,4,4,3.5,2.25,3.2,4,4,4,3.5,3.5
4,4,3.67,3,2,3.4,3,4,4,2,4
4,5,5,5,3.75,4.6,4.25,4,4.67,3.5,4
4,4,4,3.5,3,4,4,4,4,3,4
4,4,4,4,4,4.2,4,4,4,4,4
3.5,3.5,4,2.5,1,4,3,3,3.33,2,4
4.5,4,3.33,3.5,3.25,4,3.75,4.25,4.67,1.5,2.5
4,3.5,3.67,2.5,3,3,3.75,4.25,2,4,4
3.5,4,4,2.5,2,3.6,3.75,3.25,3.67,2.5,3
4,2.5,3,1.5,2,4,3.25,4,3.67,3,4
3,4,4,4,3,3.4,3,3,3,3,3
4,4.5,4,3,2.5,4,2.75,4,3.67,3,3.5
4.5,4.5,5,4.5,3.25,5,4.25,4,3.67,3,4
4,4,4,4,4,4,4,4,4,2,4
4.5,4.5,4,4,3.5,4,4,4.25,4.67,4,4
5,5,5,3,1,5,4,4,4.67,5,5
2,4,4,4,2.75,3.2,3.75,2,3,2,4.5
4,4.5,4.33,3.5,3.75,4,4.5,4.75,5,4,4
4,4,3.67,2.5,3,2.8,3.75,3.25,3.33,2,2
4,4,4,4,2.75,4,3.75,4,3.67,2.5,2.5
4.5,3.5,2.33,3.5,3,3.4,4,4,4.67,2,2
5,4,4,2,2,4,4.25,4.25,3.33,3.5,4.5
3,5,3.67,2,2.5,2.8,5,5,4.67,4.5,4.5
4,5,5,3.5,1.5,5,5,5,4.33,3.5,4
3.5,4,2.33,2,2.25,4.4,4.5,3.75,3.33,1,1
4,4,4,3,3,3.8,3,3,3.67,3.5,3.5
5,4,4.33,4,2.25,3.8,3.75,3.5,3,3,3.5
4,4.5,4.33,3.5,4.25,3,4,3.75,3.67,3,3
3.5,3.5,3.33,4,3.25,4,2.75,3,3,1,3
4,3.5,2.67,1,2.5,3.4,2.25,2.25,2.67,3.5,4
4,4,4,3,3.75,3.6,1.75,3.25,4.33,2,4.5
4,3,4.33,4.5,1.75,4.8,4.25,4.5,3.67,3,2.5
5,3,3,3,3.25,3.2,3.25,3.75,3.67,2,3.5
4.5,4,4.33,3.5,3,4,3.5,3.75,3.33,3.5,3.5
4,4,4.67,2.5,2.25,4.4,3.75,3.5,3.67,2,2.5
5,5,4,3.5,3.25,4.8,4,4,4.33,3,3.5
3.5,4,3.67,3.5,2.5,3.4,3.75,4,3.67,3,4
4,4.5,4,4.5,2.5,4.6,5,5,4.33,3.5,3.5
5,4,5,5,3,4.4,4.25,4,5,2,4
2.5,3.5,3,2.5,1.5,2.6,1.25,1,1,3,3
4,4,4,4,3,4,3.5,3.5,4,3,4
3,2.5,2.67,1.5,1.5,3.4,3.5,3.25,4,2.5,2
4,4,4,4.5,2,4.2,3.5,3.5,3.33,2,4
4,4,4,3.5,3.25,4.2,3,3.25,3,3.5,3.5
4,4,4,4,3.5,4,3.25,2.5,4,2,3
4,4,4.67,3.5,2.75,3.2,3,2.5,4,2.5,3.5
4,3.5,4,3,3,4,3.75,4,4,2,4
3,3,4,2,2.25,4,3.5,4,3.33,2,4
4.5,5,4.33,3,2.5,3.8,4,4.25,4,4,5
3,4,4,4,3.5,3.4,2.25,1.25,4,4,2
3,4,3.67,3,2,3.2,2.75,2.75,3,1.5,2
4,4,4,3.5,3,3.4,2.5,3,3.67,3,3
4,4,4.33,3,2.75,4,3.75,3.75,4,3,3
4,4.5,4.33,2,1.25,5,5,4.75,3.67,2,5
4,4,4,3.5,3.25,5,4,4,4,3,4
4,3.5,4.33,4,3.5,3.8,4.5,4.75,4,4,3
4,4,2.67,3,2.5,4,2.75,2.75,3.67,4,4
4.5,4,4.67,4.5,4,4.6,4.5,4,4.67,3,4
4.5,5,5,4,3.25,5,4.25,5,5,2,3
4,4,4,3.5,2.25,5,4.5,4.25,3.67,2,4
4,4.5,4.67,4,3,4,3.5,4,4,3.5,4
5,5,4.33,2,2.25,4.6,4.5,4.75,5,2,4
4,3.5,3.67,3.5,3,3.8,3.75,3.75,4,4,4
4,4,4,4,3.5,4.6,4,4,4,3,3.5
3,4,4,3,2.25,4,4,4,4,3,3
4,5,4.67,4,2.75,4.2,3.75,5,5,2.5,4
3,4,4,2,1.5,2.8,3,2.5,3.33,3,4
3,4.5,5,5,2.5,4.4,5,5,5,3.5,5
4,4,3.33,2.5,2.25,4.2,4,4,4,3,3
4,4,4.33,3,2,4.2,3,2.5,3.67,2,2
3.5,3.5,3.33,2.5,3,4.2,4.25,5,4.33,2.5,4
2.5,4,3,1.5,2.5,3.2,2,2.75,4,2.5,2
3.5,2.5,3.33,3.5,2.25,2.6,3,2.5,3.67,4,4
4,4,4,3.5,2,4,4,4,3.67,2,2.5
3,3,3,2.5,2.25,3.2,3.5,3.25,2.67,2.5,3.5
4.5,3.5,4,2.5,2.75,3.4,4.25,4.5,4.33,2,3
4.5,3.5,4,2.5,2.75,3.8,4.5,4.25,4.33,2,3
3.5,3.5,3,1,2,5,4,3.75,3.67,4,5
4,3.5,4,3,3,4,4,4,4.33,2.5,4
3.5,3.5,4,2,2,3.8,3,3,3,2,3
4,4,4.33,3.5,3.5,3.4,4,4,3.67,4,4
4,3,2,1.5,2,3.6,4.25,4.25,4,2.5,3
4,4,4,1.5,2.5,4,3.25,3.5,3.67,2,4
4.5,4.5,3.67,3,2.5,4.8,3,3,3.33,3.5,4.5
5,4,4.67,2.5,1.25,5,2.75,2.75,4,3,5
4,4.5,4.67,4,2.75,4.6,2.75,2,3.33,4,3.5
4,4,4,2,2.75,3.8,3.5,3,3.67,3,4
3.5,3.5,3.33,4.5,3.75,4.2,3.75,3,3.33,3,2
4,4,4,3.5,3,2.4,2.5,2.25,3.33,3.5,3.5
4,4,4.33,3,3.25,3.4,3.25,3.5,5,4,4.5
3,4,3.67,3.5,2,3.8,3.25,3,3.33,4,4
4.5,4,3,3,3.5,3.8,4,3.25,3.67,4,3
4,4.5,4,3,1.75,3.6,3,5,5,5,4.5
4,4,4,4.5,4.25,4.4,4,4,5,2,5
3.5,4.5,5,2.5,3.25,4,3.75,4.5,4,2.5,3.5
3,3.5,4,3,2.5,3.6,4,3.75,3.33,2,2
4,3.5,4,3,2.5,4.6,3.5,3.75,3.33,2,2.5
4,3.5,4,3,3.25,4.2,3.5,3.75,3.33,2,2.5
4,3.5,4,1,1.5,4.8,4,4,4,2.5,4
4,3.5,4.33,5,3.5,3.4,3,4,5,4.5,3
5,4,4,4.5,3.25,4,3.5,4,4.33,3.5,3.5
4.5,4.5,4.33,4,2.5,3.8,2.5,3.75,1.67,2,3
5,5,5,3.5,2.5,4.8,4.25,4.75,4,3,3
3,3.5,3.67,3,3,3.8,3.5,3.75,4,3,3.5
5,4.5,4.67,4.5,3.75,4.2,4,4,4.33,2,2
5,4.5,5,3.5,2.5,4.4,3.25,3.75,3.67,3,2.5
4,4,4,3.5,3,3.8,3.5,3.5,4,3.5,4
3.5,2,1.67,3,1.75,4.4,2.75,3.25,4.67,3.5,5
3.5,4,4,3.5,2.75,4,3.5,3,4,2.5,2
4.5,5,5,3.5,4,4.4,4,4.5,3.67,3,2.5
4,3.5,3.33,2.5,2.25,4,4,4,3.67,2,2.5
3.5,4,3.33,3.5,2.5,3.8,3,3.25,3.67,3.5,4
5,4,4,4.5,3.5,3.8,3.75,4,5,2.5,3.5
2.5,3,3,3,3,4,4,3.75,3.67,2,2
5,5,5,4,2.5,4.2,4.5,3.75,3.67,1.5,2
4,4,4,2,2,4,2.5,3,3,2,3
4,4,4,3,2.5,4.4,4,4,4,4,3
3,4,3.67,3.5,3,3.4,3.25,3.75,3.33,2.5,2
4.5,4,4.33,3.5,2.75,4,4,4,5,3.5,3.5
4,2.5,3.33,4,2,4,4.75,5,4.67,2,2
4,4,4,2.5,1.5,4.2,3,3.25,3.67,3,4
4.5,5,4.67,2,1.25,4.2,3.5,3,3.67,3,3.5
3.5,5,4.67,3,2,4.2,5,5,3.67,1,1
5,4.5,4.33,4,4,4.6,4.5,5,5,1,1.5
5,5,4.33,3,3.25,4.6,4,4,4,1,1
5,5,5,4,3.25,4.4,4,4.75,4,3.5,3
4,4,4,3,3.25,4,2.25,4,4,4,4
5,5,5,3.5,4,5,4.5,4.5,5,4.5,3.5
3,4,3.33,3.5,3.5,3.4,4,3,4,3.5,4
4,5,4.67,3.5,3.75,4.6,4.75,5,5,5,4.5
2.5,3,2.33,2.5,2.75,2.6,3,3.25,3,3,3
4,4,4,4,3,3.2,3.75,3.75,4,2,3.5
4.5,4,5,3,3.75,3.8,4.75,5,5,3,2.5
4,4,3.67,4,3.25,4,5,5,5,2,2
4,3.5,3.33,3.5,3,4.6,3.75,4,4,3,3
4,4,4,4,2.75,4,3,3.25,3.33,2.5,4
4,4,4,3.5,2.5,4.2,3.75,4,3,2,2.5
4,4,4.67,2,2.25,3.8,4,4,4,3,5
3.5,4,2.67,3.5,1,4.4,3.75,5,4,2,4
2,3.5,3,1.5,2,3.4,2.25,2.75,3.33,4,3.5
4,4,4,3,2.5,3.6,2.75,2.75,3,2,3
4,4,4,3,2.5,4,4,4,4,3,3
4.5,3,2.33,3,2,3.6,4.25,4.75,4.33,2.5,4.5
4,4,4,4,2,4.2,3.25,4,4,2,2
4,4,4,3,1.75,4.4,4,4,3.67,3.5,4
4,3.5,3.33,1,1,3,3.25,4,3.33,2.5,4
5,4,3.67,3,3,5,5,5,3,1,1
4,4,4,3.5,3.5,3.4,3.5,4,4.67,4,4
2,5,4.67,2.5,1.75,4.2,2.75,2.5,3.67,3.5,4.5
5,5,5,5,3,3.4,5,5,5,3,3
4,4,4,4,3,4.2,4,4,4,2.5,2
4,4,3.67,2.5,1.75,5,4,4,4,3.5,4
4,4,4,4,3.25,5,4.25,4.25,4,4,4
4,4.5,4.33,3.5,2,3.6,5,5,4.67,3,3
2,3.5,2,3,2.75,3.8,4,4,3.67,3,3
3.5,4,4,2.5,2,3.8,3.25,3.75,3.67,3.5,4
5,5,5,5,4.75,5,5,5,5,2,2.5
3.5,3,3,3,2.25,3.2,3.25,3.75,3.33,3.5,3.5
3.5,4,4,4,2,2.4,2.25,2.5,3,4,4
3.5,4,4,3.5,3.5,3.4,3.25,3,3.67,3.5,3.5
5,4,4.33,3,2.5,4.4,3,3.75,3.33,4,4
4,3.5,3.67,3,3.25,4.6,5,5,4.33,2.5,4
3.5,2,3,2.5,2,4,4,4,2.67,2.5,3
4,3.5,4,1.5,2,4,3.5,3.5,2.67,3.5,3.5
4,4.5,4.67,2.5,1.75,4.2,3.75,4.25,5,1,1.5
4.5,5,4.67,3.5,2.5,3.2,4.25,5,4,1,2.5
4,5,5,5,4.25,4,3.75,3.75,4,4,4
5,5,5,4.5,2.5,5,4,4,4,3.5,3.5
3,3,3.67,4,2.25,3.6,3.75,4,4,3.5,4
